2016 rank,City,State[5],2016 estimate,2010 Census,Change,2014 land area,2010 population density,Location
1,New York[6],New York,"8,537,673","8,175,133",+4.43%,"302.6 sq mi
783.8 km2","27,012 per sq mi
10,430 km−2",40.6643°N 73.9385°W
2,Los Angeles,California,"3,976,322","3,792,621",+4.84%,"468.7 sq mi
1,213.9 km2","8,092 per sq mi
3,124 km−2",34.0194°N 118.4108°W
3,Chicago,Illinois,"2,704,958","2,695,598",+0.35%,"227.6 sq mi
589.6 km2","11,842 per sq mi
4,572 km−2",41.8376°N 87.6818°W
4,Houston[7],Texas,"2,303,482","2,100,263",+9.68%,"599.6 sq mi
1,552.9 km2","3,501 per sq mi
1,352 km−2",29.7805°N 95.3863°W
5,Phoenix,Arizona,"1,615,017","1,445,632",+11.72%,"516.7 sq mi
1,338.3 km2","2,798 per sq mi
1,080 km−2",33.5722°N 112.0880°W
6,Philadelphia[8],Pennsylvania,"1,567,872","1,526,006",+2.74%,"134.1 sq mi
347.3 km2","11,379 per sq mi
4,394 km−2",40.0094°N 75.1333°W
7,San Antonio,Texas,"1,492,510","1,327,407",+12.44%,"460.9 sq mi
1,193.8 km2","2,880 per sq mi
1,112 km−2",29.4724°N 98.5251°W
8,San Diego,California,"1,406,630","1,307,402",+7.59%,"325.2 sq mi
842.2 km2","4,020 per sq mi
1,552 km−2",32.8153°N 117.1350°W
9,Dallas,Texas,"1,317,929","1,197,816",+10.03%,"340.5 sq mi
881.9 km2","3,518 per sq mi
1,358 km−2",32.7757°N 96.7967°W
10,San Jose,California,"1,025,350","945,942",+8.39%,"176.6 sq mi
457.3 km2","5,359 per sq mi
2,069 km−2",37.2969°N 121.8193°W
11,Austin,Texas,"947,890","790,390",+19.93%,"322.48 sq mi
835.2 km2","2,653 per sq mi
1,024 km−2",30.3072°N 97.7560°W
12,Jacksonville[9],Florida,"880,619","821,784",+7.16%,"747.0 sq mi
1,934.7 km2","1,120 per sq mi
433 km−2",30.3370°N 81.6613°W
13,San Francisco[10],California,"870,887","805,235",+8.15%,"46.9 sq mi
121.4 km2","17,179 per sq mi
6,633 km−2",37.7751°N 122.4193°W
14,Columbus,Ohio,"860,090","787,033",+9.28%,"217.2 sq mi
562.5 km2","3,624 per sq mi
1,399 km−2",39.9848°N 82.9850°W
